爬取时间(__time),爬取链接(__url),商品ID(product_id),商品名称(name),商品描述(description),商品参数(params),商品现价(current_price),商品原价(original_price),月销量(month_sales_count),库存(stock),发货地址(shipping_address),商品发布时间(product_publish_time),店铺ID(shop_id),店铺名称(shop_name),商品链接URL(url),评分（总分5.0分）(score),收藏数(stores_count),累计评价数(comments_count),商品评价印象标签(impresses),
"2019-02-01 23:35:34","https://detail.tmall.com/item.htm?id=578000816301","578000816301","【同城闪送】Huawei/华为nova 3i 全面屏AI四摄逆光美颜双卡双待正品智能时尚学生手机畅享9 plus/nova 4","商场同款 春节不打烊 黑龙江最快一小时送达","[{""label"":""后置摄像头"",""value"":""1600万（彩色）像素＋200万（彩色）像素""},{""label"":""摄像头类型"",""value"":""四摄像头（前双后双）""},{""label"":""视频显示格式"",""value"":""*.mp4""},{""label"":""分辨率"",""value"":""2340*1080像素""},{""label"":""触摸屏类型"",""value"":""多点触控的触摸屏""},{""label"":""屏幕尺寸"",""value"":""6.3英寸""},{""label"":""网络类型"",""value"":""4G全网通""},{""label"":""网络模式"",""value"":""双卡双待单通""},{""label"":""键盘类型"",""value"":""虚拟触屏键盘""},{""label"":""款式"",""value"":""直板""},{""label"":""运行内存RAM"",""value"":""4GB 6GB""},{""label"":""存储容量"",""value"":""4+128GB 6+64GB 6+128GB""},{""label"":""品牌"",""value"":""Huawei/华为""},{""label"":""华为型号"",""value"":""nova 3i""},{""label"":""电池类型"",""value"":""不可拆卸式电池""},{""label"":""核心数"",""value"":""八核""},{""label"":""机身颜色"",""value"":""相思红 珍珠白 蓝楹紫 亮黑色""},{""label"":""手机类型"",""value"":""智能手机 商务手机""},{""label"":""操作系统"",""value"":""Android 8.1""},{""label"":""CPU品牌"",""value"":""HUAWEI Kirin 710（麒麟710）""},{""label"":""产品名称"",""value"":""HUAWEI nova 3i""},{""label"":""手机"",""value"":""1 件""},{""label"":""电池（内置）"",""value"":""1 件""},{""label"":""快速指南"",""value"":""1 件""},{""label"":""充电器"",""value"":""1 件""},{""label"":""三包凭证"",""value"":""1 件""},{""label"":""3.5mm耳机"",""value"":""1 件""},{""label"":""USB数据线"",""value"":""1 件""},{""label"":""取卡针"",""value"":""1 件""},{""label"":""TPU保护壳"",""value"":""1 件""}]","1999-2399","1999.00 - 2399.00","90","","黑龙江哈尔滨","1548475512","314172276","凌志手机连锁旗舰店","https://detail.tmall.com/item.htm?id=578000816301","5","12","333","[{""label_count"":""129"",""label_title"":""态度不错""},{""label_count"":""89"",""label_title"":""手机不错""},{""label_count"":""60"",""label_title"":""成色很好""},{""label_count"":""19"",""label_title"":""便宜""},{""label_count"":""18"",""label_title"":""性能不错""},{""label_count"":""15"",""label_title"":""操作顺畅""},{""label_count"":""11"",""label_title"":""屏幕细腻""},{""label_count"":""10"",""label_title"":""原装""},{""label_count"":""8"",""label_title"":""像素很好""},{""label_count"":""7"",""label_title"":""性价比高""}]",
"2019-02-01 23:35:14","https://detail.tmall.com/item.htm?id=557561200853","557561200853","纽曼 L660老年机翻盖手机大屏大字大声男女款移动电信版老年手机超长待机正品学生联通全网通4g按键老人手机","电信翻盖 强光手电 一键拨号","[{""label"":""后置摄像头"",""value"":""30万""},{""label"":""摄像头类型"",""value"":""单摄像头""},{""label"":""视频显示格式"",""value"":""3GP""},{""label"":""分辨率"",""value"":""320x240""},{""label"":""触摸屏类型"",""value"":""非触摸屏""},{""label"":""屏幕尺寸"",""value"":""2.4英寸""},{""label"":""网络类型"",""value"":""电信2G""},{""label"":""网络模式"",""value"":""单卡单模""},{""label"":""键盘类型"",""value"":""12键标准键盘""},{""label"":""款式"",""value"":""翻盖""},{""label"":""运行内存RAM"",""value"":""128MB""},{""label"":""存储容量"",""value"":""256MB 32MB""},{""label"":""品牌"",""value"":""纽曼""},{""label"":""纽曼型号"",""value"":""L660""},{""label"":""电池类型"",""value"":""可拆卸式电池""},{""label"":""核心数"",""value"":""单核心""},{""label"":""cpu频率"",""value"":""无""},{""label"":""机身颜色"",""value"":""黑红 白银 玫瑰金 黑色 金色""},{""label"":""手机类型"",""value"":""拍照手机 音乐手机 时尚手机 女性手机 老人手机""},{""label"":""操作系统"",""value"":""无""},{""label"":""CPU品牌"",""value"":""高通""},{""label"":""CPU型号"",""value"":""qsc1110""},{""label"":""产品名称"",""value"":""翻盖手机""},{""label"":""手机"",""value"":""1 件""},{""label"":""电池"",""value"":""1 件""},{""label"":""充电头"",""value"":""1 件""},{""label"":""数据线"",""value"":""1 件""},{""label"":""说明书"",""value"":""1 件""}]","198-258","399.00 - 459.00","8","79962","江苏南京","1548464620","107021874","一号线数码专营店","https://detail.tmall.com/item.htm?id=557561200853","5","334","144","[{""label_count"":""11"",""label_title"":""音质还可以""},{""label_count"":""10"",""label_title"":""手机不错""},{""label_count"":""5"",""label_title"":""快递不错""},{""label_count"":""4"",""label_title"":""外型不错""},{""label_count"":""3"",""label_title"":""包装很正规""}]",
"2019-02-01 23:35:14","https://detail.tmall.com/item.htm?id=578941157653","578941157653","顺丰速发Meizu/魅族 魅族 M15 全网通4G智能手机官方旗舰店官网正品m15 note8 6t 16THPLUS thplus","正规厂家授权授权销售 全新正品原封发货","[{""label"":""后置摄像头"",""value"":""1200万""},{""label"":""摄像头类型"",""value"":""双摄像头（前后）""},{""label"":""视频显示格式"",""value"":""MP4/Ts/ASF/WMV/MKV/Webm/AVI/DivX/3gp/3g2""},{""label"":""分辨率"",""value"":""1920x1080""},{""label"":""触摸屏类型"",""value"":""电容式""},{""label"":""屏幕尺寸"",""value"":""5.46英寸""},{""label"":""网络类型"",""value"":""4G全网通""},{""label"":""网络模式"",""value"":""双卡双待""},{""label"":""键盘类型"",""value"":""虚拟触屏键盘""},{""label"":""款式"",""value"":""直板""},{""label"":""运行内存RAM"",""value"":""4GB""},{""label"":""存储容量"",""value"":""4+64GB""},{""label"":""品牌"",""value"":""Meizu/魅族""},{""label"":""魅族型号"",""value"":""魅族 M15""},{""label"":""电池类型"",""value"":""不可拆卸式电池""},{""label"":""核心数"",""value"":""真8核""},{""label"":""机身颜色"",""value"":""砂砾金 朱雀红 曜岩黑""},{""label"":""手机类型"",""value"":""拍照手机 音乐手机 时尚手机 智能手机 4G手机 商务手机""},{""label"":""操作系统"",""value"":""Flyme 7""},{""label"":""CPU品牌"",""value"":""高通""},{""label"":""CPU型号"",""value"":""骁龙626""},{""label"":""产品名称"",""value"":""魅族 M15""},{""label"":""主机"",""value"":""1 件""},{""label"":""数据线"",""value"":""1 件""},{""label"":""电源适配器"",""value"":""1 件""},{""label"":""SIM卡顶针"",""value"":""1 件""},{""label"":""保修书"",""value"":""1 件""}]","995-1050","995.00 - 1080.00","63","236","广东深圳","1548657530","60291176","事三义数码专营店","https://detail.tmall.com/item.htm?id=578941157653","5","162","18","[]",
"2019-02-01 23:35:14","https://detail.tmall.com/item.htm?id=570882130045","570882130045","现货速发/12期分期免息 Samsung/三星 Galaxy S9 SM-G9600/DS 全网通手机 双卡双待 防水防尘 全新未激活","全新未拆封未激活 12期分期免息","[{""label"":""后置摄像头"",""value"":""1200万像素全双核疾速""},{""label"":""摄像头类型"",""value"":""双摄像头（前后）""},{""label"":""视频显示格式"",""value"":""MP4,M4V,3GP,3G2,WMV,ASF,AVI,FLV,MKV,WEBM""},{""label"":""分辨率"",""value"":""2960x1440""},{""label"":""触摸屏类型"",""value"":""电容式""},{""label"":""屏幕尺寸"",""value"":""5.6英寸""},{""label"":""网络类型"",""value"":""4G全网通""},{""label"":""网络模式"",""value"":""TD-LTE/LTE FDD/TD-SCDMA/WCDMA/cdma2000/CDMA 1X/GSM""},{""label"":""键盘类型"",""value"":""虚拟触屏键盘""},{""label"":""款式"",""value"":""双曲面""},{""label"":""运行内存RAM"",""value"":""4GB""},{""label"":""存储容量"",""value"":""4+128GB 64GB 128GB""},{""label"":""品牌"",""value"":""Samsung/三星""},{""label"":""三星型号"",""value"":""Galaxy S9 SM-G9600/DS""},{""label"":""电池类型"",""value"":""不可拆卸式电池""},{""label"":""核心数"",""value"":""八核2.8GHz,1.7GHz""},{""label"":""机身颜色"",""value"":""夕雾紫 莱茵蓝 谜夜黑 勃艮第红 冰蓝""},{""label"":""手机类型"",""value"":""智能手机 4G手机""},{""label"":""操作系统"",""value"":""Andriod 8.0""},{""label"":""CPU品牌"",""value"":""高通骁龙""},{""label"":""产品名称"",""value"":""S9""},{""label"":""手机"",""value"":""1 件""},{""label"":""充电器"",""value"":""1 件""},{""label"":""数据线"",""value"":""1 件""},{""label"":""耳机"",""value"":""1 件""},{""label"":""耳机套"",""value"":""1 件""},{""label"":""保修卡"",""value"":""1 件""},{""label"":""说明书"",""value"":""1 件""},{""label"":""卡针"",""value"":""1 件""},{""label"":""USB连接器"",""value"":""1 件""},{""label"":""Micro USB连接器"",""value"":""1 件""},{""label"":""透明壳"",""value"":""1 件""}]","4499-4799","4499.00 - 4799.00","5","219","上海","1548705279","111686177","samsung佳酷专卖店","https://detail.tmall.com/item.htm?id=570882130045","5","123","6","[]",
"2019-02-01 23:31:59","https://detail.tmall.com/item.htm?id=570149179955","570149179955","DOOV/朵唯 V17 3GB+32GB 移动联通4G大屏双卡学生老人女性手机","","[{""label"":""后置摄像头"",""value"":""500万""},{""label"":""摄像头类型"",""value"":""双摄像头（前后）""},{""label"":""视频显示格式"",""value"":""1080P(全高清D5)""},{""label"":""触摸屏类型"",""value"":""电容屏，多点触控""},{""label"":""分辨率"",""value"":""1280x720""},{""label"":""屏幕尺寸"",""value"":""5.5英寸""},{""label"":""网络类型"",""value"":""移动联通双4G""},{""label"":""网络模式"",""value"":""双卡多模""},{""label"":""款式"",""value"":""直板""},{""label"":""键盘类型"",""value"":""虚拟QWERTY键盘""},{""label"":""运行内存RAM"",""value"":""1GB 2GB 3GB""},{""label"":""存储容量"",""value"":""3+32GB""},{""label"":""CPU品牌"",""value"":""联发科""},{""label"":""CPU型号"",""value"":""MT6737""},{""label"":""操作系统"",""value"":""阿里巴巴YunOS""},{""label"":""手机类型"",""value"":""智能手机 4G手机 女性手机""},{""label"":""电池类型"",""value"":""可拆卸式电池""},{""label"":""核心数"",""value"":""四核""},{""label"":""品牌"",""value"":""DOOV/朵唯""},{""label"":""型号"",""value"":""v17""},{""label"":""机身颜色"",""value"":""香槟金""},{""label"":""主机"",""value"":""1 件""},{""label"":""电池"",""value"":""1 件""},{""label"":""充电器"",""value"":""1 件""},{""label"":""数据线"",""value"":""1 件""}]","549","549.00","3","35","广东深圳","1548470808","68374790","朵唯官方旗舰店","https://detail.tmall.com/item.htm?id=570149179955","5","97","2","[]",
"2019-02-01 23:31:58","https://detail.tmall.com/item.htm?id=567664596258","567664596258","免息0首付/送一年影视会员 Huawei/华为 nova 2s手机全面屏3e官方旗舰店正品nova2plus全网通","分期免息0首付 送一年影视会员 套餐任选","[{""label"":""后置摄像头"",""value"":""2000万像素+1600万像素，F/1.8光圈，支持双摄变焦""},{""label"":""摄像头类型"",""value"":""四摄像头""},{""label"":""视频显示格式"",""value"":""涉及专利风险，对外不体现""},{""label"":""分辨率"",""value"":""2160x1080""},{""label"":""触摸屏类型"",""value"":""支持多点触控的Incell触摸屏""},{""label"":""屏幕尺寸"",""value"":""6.0英寸""},{""label"":""网络类型"",""value"":""4G全网通""},{""label"":""网络模式"",""value"":""双卡双待单通，主副卡不区分卡槽，Nano SIM""},{""label"":""键盘类型"",""value"":""虚拟触屏键盘""},{""label"":""款式"",""value"":""直板""},{""label"":""运行内存RAM"",""value"":""4GB 6GB""},{""label"":""存储容量"",""value"":""4+64GB 6+64GB 6+128GB""},{""label"":""品牌"",""value"":""Huawei/华为""},{""label"":""华为型号"",""value"":""nova 2s""},{""label"":""电池类型"",""value"":""Li-Polymer 锂聚合物电池""},{""label"":""核心数"",""value"":""八核+微智核i6""},{""label"":""机身颜色"",""value"":""银钻灰 曜石黑 浅艾蓝 樱粉金""},{""label"":""手机类型"",""value"":""时尚手机 智能手机 4G手机 商务手机""},{""label"":""操作系统"",""value"":""EMUI 8.0(兼容Android 8.0）""},{""label"":""CPU品牌"",""value"":""Kirin 960""},{""label"":""产品名称"",""value"":""HUAWEI nova 2s""},{""label"":""手机"",""value"":""1 件""},{""label"":""电池（内置）"",""value"":""1 件""},{""label"":""快速指南"",""value"":""1 件""},{""label"":""充电器"",""value"":""1 件""},{""label"":""三包凭证"",""value"":""1 件""},{""label"":""3.5mm耳机"",""value"":""1 件""},{""label"":""Type-C 数据线"",""value"":""1 件""},{""label"":""卡座捅针"",""value"":""1 件""},{""label"":""PC保护壳"",""value"":""1 件""}]","1385-2097","1385.00 - 2097.00","37","723","广东深圳","1548682017","105865359","博盛景数码专营店","https://detail.tmall.com/item.htm?id=567664596258","4.5","366","27","[]",
"2019-02-01 23:31:58","https://detail.tmall.com/item.htm?id=560029762099","560029762099","Philips/飞利浦 E160老人超长待机功能老年手机直板大屏大字大声正品学生非纽曼诺基亚小米手机按键备用移动","超长待机 8个一键拨号 蓝牙 学生备用机","[{""label"":""后置摄像头"",""value"":""30万""},{""label"":""摄像头类型"",""value"":""单摄像头""},{""label"":""视频显示格式"",""value"":""360P(逐行标清)""},{""label"":""分辨率"",""value"":""240x320""},{""label"":""触摸屏类型"",""value"":""非触摸屏""},{""label"":""屏幕尺寸"",""value"":""2.4英寸""},{""label"":""网络类型"",""value"":""移动联通2G""},{""label"":""网络模式"",""value"":""双卡单模""},{""label"":""键盘类型"",""value"":""12键标准键盘""},{""label"":""款式"",""value"":""直板""},{""label"":""运行内存RAM"",""value"":""无""},{""label"":""存储容量"",""value"":""无""},{""label"":""品牌"",""value"":""Philips/飞利浦""},{""label"":""飞利浦型号"",""value"":""E160""},{""label"":""电池类型"",""value"":""可拆卸式电池""},{""label"":""核心数"",""value"":""无""},{""label"":""机身颜色"",""value"":""磨砂黑""},{""label"":""手机类型"",""value"":""儿童手机 商务手机 老人手机""},{""label"":""操作系统"",""value"":""无操作系统""},{""label"":""CPU品牌"",""value"":""其他""},{""label"":""主机"",""value"":""1 件""},{""label"":""电池"",""value"":""1 件""},{""label"":""充电器"",""value"":""1 件""},{""label"":""USB数据线"",""value"":""1 件""},{""label"":""中文说明书"",""value"":""1 件""},{""label"":""三包凭证"",""value"":""1 件""}]","148-198","299.00","330","6775","广东深圳","1548643105","105509286","爱要美数码专营店","https://detail.tmall.com/item.htm?id=560029762099","4.8","11185","2817","[{""label_count"":""38"",""label_title"":""手机不错""},{""label_count"":""12"",""label_title"":""音质很清晰""},{""label_count"":""11"",""label_title"":""很便宜""},{""label_count"":""11"",""label_title"":""款式好看""},{""label_count"":""7"",""label_title"":""系统很强大""},{""label_count"":""7"",""label_title"":""屏幕大""},{""label_count"":""6"",""label_title"":""待机时间长""},{""label_count"":""5"",""label_title"":""跟描述一致""},{""label_count"":""5"",""label_title"":""手感也很好""},{""label_count"":""5"",""label_title"":""服务态度好""}]",
"2019-02-01 23:27:08","https://detail.tmall.com/item.htm?id=579253149773","579253149773","OPPO R15x oppor15x新品 oppor15x手机全新机 oppor15x限量版超薄 oppo官方正品 oppor17 oppor15 oppok1 k15","新品上市 赠碎屏险 顺丰包邮","[{""label"":""后置摄像头"",""value"":""1600万像素+200万像素""},{""label"":""摄像头类型"",""value"":""三摄像头（后双）""},{""label"":""视频显示格式"",""value"":""1080P(全高清D5)""},{""label"":""分辨率"",""value"":""2340x1080""},{""label"":""触摸屏类型"",""value"":""电容屏，多点触控""},{""label"":""屏幕尺寸"",""value"":""6.4英寸""},{""label"":""网络类型"",""value"":""4G+全网通""},{""label"":""网络模式"",""value"":""双卡多模""},{""label"":""键盘类型"",""value"":""虚拟触屏键盘""},{""label"":""款式"",""value"":""直板""},{""label"":""运行内存RAM"",""value"":""6GB""},{""label"":""存储容量"",""value"":""6+128GB""},{""label"":""品牌"",""value"":""OPPO""},{""label"":""OPPO型号"",""value"":""R15X""},{""label"":""电池类型"",""value"":""不可拆卸式电池""},{""label"":""核心数"",""value"":""八核1.95GHz""},{""label"":""机身颜色"",""value"":""星云渐变 冰萃银""},{""label"":""手机类型"",""value"":""拍照手机 时尚手机 智能手机 4G手机""},{""label"":""操作系统"",""value"":""Android/安卓""},{""label"":""CPU品牌"",""value"":""高通""},{""label"":""CPU型号"",""value"":""SDM660""},{""label"":""产品名称"",""value"":""R15x""},{""label"":""主机"",""value"":""1 件""},{""label"":""耳机"",""value"":""1 件""},{""label"":""充电器"",""value"":""1 件""},{""label"":""数据线"",""value"":""1 件""},{""label"":""保护套"",""value"":""1 件""},{""label"":""SIM卡通针"",""value"":""1 件""}]","2299","2299.01","8","42","浙江宁波","1548813600","108276884","oppo银通亿禾专卖店","https://detail.tmall.com/item.htm?id=579253149773","4.7","502","11","[]",
"2019-02-01 23:27:07","https://detail.tmall.com/item.htm?id=573901613709","573901613709","?正品授权 12期0首付Huawei/华为 nova 3全面屏智能手机官方旗舰店全网通3i官网正品P20Pro学生价手机3e新款","12期0首付  官方正品 带票联保","[{""label"":""后置摄像头"",""value"":""1600万（彩色）像素＋2400万（黑白）像素""},{""label"":""摄像头类型"",""value"":""四摄像头（前双后双）""},{""label"":""视频显示格式"",""value"":""*.3gp、*.mp4""},{""label"":""分辨率"",""value"":""2340 x 1080像素""},{""label"":""触摸屏类型"",""value"":""多点触控触摸屏""},{""label"":""屏幕尺寸"",""value"":""6.3英寸""},{""label"":""网络类型"",""value"":""4G全网通""},{""label"":""网络模式"",""value"":""双卡双待单通""},{""label"":""键盘类型"",""value"":""虚拟触屏键盘""},{""label"":""款式"",""value"":""直板""},{""label"":""运行内存RAM"",""value"":""6GB""},{""label"":""存储容量"",""value"":""6+64GB 6+128GB""},{""label"":""品牌"",""value"":""Huawei/华为""},{""label"":""华为型号"",""value"":""nova 3""},{""label"":""电池类型"",""value"":""锂聚合物电池""},{""label"":""核心数"",""value"":""八核 + 微智核i7""},{""label"":""机身颜色"",""value"":""浅艾蓝 蓝楹紫 星耀版·樱草金 相思红 亮黑色""},{""label"":""手机类型"",""value"":""拍照手机 智能手机 商务手机""},{""label"":""操作系统"",""value"":""Android 8.1""},{""label"":""CPU品牌"",""value"":""HUAWEI Kirin 970 (麒麟970)""},{""label"":""产品名称"",""value"":""HUAWEI nova 3""},{""label"":""手机"",""value"":""1 件""},{""label"":""电池（内置）"",""value"":""1 件""},{""label"":""快速指南"",""value"":""1 件""},{""label"":""9V2A Charge充电器"",""value"":""1 件""},{""label"":""三包凭证"",""value"":""1 件""},{""label"":""3.5mm耳机"",""value"":""1 件""},{""label"":""9V2A Type-C数据线"",""value"":""1 件""},{""label"":""卡座捅针"",""value"":""1 件""},{""label"":""TPU保护壳"",""value"":""1 件""},{""label"":""TP保护膜（出厂已贴在手机上）"",""value"":""1 件""}]","2399-2799","2399.00 - 2799.00","2","94","山东济南","1548728130","68904509","玩风数码专营店","https://detail.tmall.com/item.htm?id=573901613709","5","96","11","[]",
"2019-02-01 23:27:07","https://detail.tmall.com/item.htm?id=568309160906","568309160906","过年不打烊/3期免息速发套餐+0元起/选电源吃鸡礼/中移动Meizu/魅族 魅族 15官方旗舰店全网通手机16plu","3期免息 顺丰速发 过年不打烊","[{""label"":""后置摄像头"",""value"":""1200万+2000万""},{""label"":""摄像头类型"",""value"":""三摄像头（后双）""},{""label"":""视频显示格式"",""value"":""3gp，mp4，wmv，rm，rmvb，asf""},{""label"":""分辨率"",""value"":""1920x1080""},{""label"":""触摸屏类型"",""value"":""电容式""},{""label"":""屏幕尺寸"",""value"":""5.46英寸""},{""label"":""网络类型"",""value"":""4G全网通""},{""label"":""网络模式"",""value"":""双卡双待""},{""label"":""键盘类型"",""value"":""虚拟触屏键盘""},{""label"":""款式"",""value"":""直板""},{""label"":""运行内存RAM"",""value"":""4GB""},{""label"":""存储容量"",""value"":""4+128GB 4+64GB""},{""label"":""品牌"",""value"":""Meizu/魅族""},{""label"":""魅族型号"",""value"":""魅族 15""},{""label"":""电池类型"",""value"":""不可拆卸式电池""},{""label"":""核心数"",""value"":""智能真8核""},{""label"":""机身颜色"",""value"":""雅金 砚墨 黛蓝 汝窑白""},{""label"":""手机类型"",""value"":""拍照手机 音乐手机 时尚手机 智能手机 4G手机 商务手机""},{""label"":""操作系统"",""value"":""FLyme""},{""label"":""CPU品牌"",""value"":""高通""},{""label"":""CPU型号"",""value"":""骁龙660""},{""label"":""产品名称"",""value"":""魅族 15""},{""label"":""主机"",""value"":""1 件""},{""label"":""数据线"",""value"":""1 件""},{""label"":""电源适配器"",""value"":""1 件""},{""label"":""SIM卡顶针"",""value"":""1 件""},{""label"":""保修书"",""value"":""1 件""},{""label"":""VIP卡"",""value"":""1 件""}]","1338-1396","1339.00 - 2109.00","72","234","浙江杭州","1548667482","106117073","中国移动官方旗舰店","https://detail.tmall.com/item.htm?id=568309160906","4.6","1150","140","[{""label_count"":""20"",""label_title"":""手机不错""},{""label_count"":""11"",""label_title"":""性能不错""},{""label_count"":""6"",""label_title"":""成色很好""},{""label_count"":""5"",""label_title"":""便宜""},{""label_count"":""5"",""label_title"":""服务好""},{""label_count"":""4"",""label_title"":""物流快""},{""label_count"":""3"",""label_title"":""像素很好""}]",
"2019-02-01 23:27:06","https://detail.tmall.com/item.htm?id=566470700257","566470700257","【春节不打烊】华为honor/荣耀 畅玩7A全面屏全网通智能手机官方正品旗舰店人脸识别手机","苏宁快递 急速送达","[{""label"":""视频显示格式"",""value"":""1080P(全高清D5)""},{""label"":""摄像头类型"",""value"":""双摄像头（后双），双摄像头（前后）""},{""label"":""后置摄像头"",""value"":""1300万+200万,1300万""},{""label"":""触摸屏类型"",""value"":""电容屏，多点触控""},{""label"":""分辨率"",""value"":""1440*720""},{""label"":""屏幕尺寸"",""value"":""5.7英寸""},{""label"":""网络模式"",""value"":""双卡双待""},{""label"":""网络类型"",""value"":""4G全网通""},{""label"":""款式"",""value"":""直板""},{""label"":""键盘类型"",""value"":""虚拟触屏键盘""},{""label"":""运行内存RAM"",""value"":""2GB 3GB""},{""label"":""存储容量"",""value"":""2+32GB 3+32GB""},{""label"":""CPU品牌"",""value"":""高通""},{""label"":""CPU型号"",""value"":""骁龙430""},{""label"":""手机类型"",""value"":""拍照手机 音乐手机 时尚手机 智能手机 电视手机 4G手机 商务手机 老人手机""},{""label"":""电池类型"",""value"":""不可拆卸式电池""},{""label"":""品牌"",""value"":""honor/荣耀""},{""label"":""型号"",""value"":""畅玩7A""},{""label"":""核心数"",""value"":""4*1.4GHz+4*1.1GHz""},{""label"":""操作系统"",""value"":""Android 8.0""},{""label"":""机身颜色"",""value"":""铂光金 极光蓝 幻夜黑""},{""label"":""手机"",""value"":""1 件""},{""label"":""充电器"",""value"":""1 件""},{""label"":""数据线"",""value"":""1 件""},{""label"":""取卡针"",""value"":""1 件""},{""label"":""快速指南"",""value"":""1 件""},{""label"":""售后服务手册"",""value"":""1 件""}]","899","799.00 - 999.00","1152","24","江苏南京","1548582660","128573071","苏宁易购官方旗舰店","https://detail.tmall.com/item.htm?id=566470700257","4.8","25950","8393","[{""label_count"":""330"",""label_title"":""手机不错""},{""label_count"":""205"",""label_title"":""很划算""},{""label_count"":""165"",""label_title"":""快递不错""},{""label_count"":""157"",""label_title"":""性能很好""},{""label_count"":""122"",""label_title"":""外观不错""},{""label_count"":""68"",""label_title"":""性价比很高""},{""label_count"":""65"",""label_title"":""性能一般""},{""label_count"":""46"",""label_title"":""屏幕大""},{""label_count"":""38"",""label_title"":""正品""},{""label_count"":""24"",""label_title"":""手机一般""}]",
"2019-02-01 23:27:05","https://detail.tmall.com/item.htm?id=570960475566","570960475566","春节不打烊现货速发 Xiaomi/小米 小米8手机8plus全网通手机官方旗舰店透明指纹探索版米8中移动 8青春","春节不打烊，现货速发","[{""label"":""后置摄像头"",""value"":""1200万+1200万双摄""},{""label"":""摄像头类型"",""value"":""不详""},{""label"":""视频显示格式"",""value"":""1080P FHD+""},{""label"":""分辨率"",""value"":""2248x1080""},{""label"":""触摸屏类型"",""value"":""电容屏，多点触控""},{""label"":""屏幕尺寸"",""value"":""6.21英寸""},{""label"":""网络类型"",""value"":""4G+全网通""},{""label"":""网络模式"",""value"":""不详""},{""label"":""键盘类型"",""value"":""虚拟QWERTY键盘""},{""label"":""款式"",""value"":""直板""},{""label"":""运行内存RAM"",""value"":""6G""},{""label"":""存储容量"",""value"":""6+64GB 6+128GB 8+128GB""},{""label"":""品牌"",""value"":""Xiaomi/小米""},{""label"":""型号"",""value"":""小米8""},{""label"":""电池类型"",""value"":""不可拆卸式电池""},{""label"":""核心数"",""value"":""八核 最高主频2.8GHz""},{""label"":""机身颜色"",""value"":""白色 黑色 金色 蓝色""},{""label"":""手机类型"",""value"":""4G手机""},{""label"":""操作系统"",""value"":""无""},{""label"":""CPU品牌"",""value"":""高通""},{""label"":""CPU型号"",""value"":""骁龙845""},{""label"":""产品名称"",""value"":""小米8""},{""label"":""手机主机"",""value"":""1 件""},{""label"":""保护套"",""value"":""1 件""},{""label"":""电源适配器"",""value"":""1 件""},{""label"":""USB Type-C 数据线"",""value"":""1 件""},{""label"":""Type-C TO AUDIO 转接线"",""value"":""1 件""},{""label"":""插针"",""value"":""1 件""},{""label"":""三包凭证"",""value"":""1 件""},{""label"":""入门指南"",""value"":""1 件""}]","2179-2899","2180.00 - 3060.00","69","78","浙江杭州","1548643461","106117073","中国移动官方旗舰店","https://detail.tmall.com/item.htm?id=570960475566","4.7","5396","684","[{""label_count"":""42"",""label_title"":""性能不错""},{""label_count"":""41"",""label_title"":""手机不错""},{""label_count"":""25"",""label_title"":""原装""},{""label_count"":""17"",""label_title"":""服务好""},{""label_count"":""14"",""label_title"":""成色很好""},{""label_count"":""13"",""label_title"":""物流快""},{""label_count"":""7"",""label_title"":""像素很好""},{""label_count"":""6"",""label_title"":""手机一般""},{""label_count"":""6"",""label_title"":""操作方便""},{""label_count"":""6"",""label_title"":""性价比高""}]",
